date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Sat, Oct 21, 2017|8:00p|Dallas Mavericks|91|Houston Rockets|107|Box Score||18,055|
Sat, Oct 21, 2017|8:00p|Golden State Warriors|101|Memphis Grizzlies|111|Box Score||17,794|
Sat, Oct 21, 2017|8:00p|Indiana Pacers|108|Miami Heat|112|Box Score||19,600|
Sat, Oct 21, 2017|8:00p|Detroit Pistons|111|New York Knicks|107|Box Score||19,812|
Sat, Oct 21, 2017|8:30p|Portland Trail Blazers|110|Milwaukee Bucks|113|Box Score||16,211|
Sat, Oct 21, 2017|9:00p|Sacramento Kings|79|Denver Nuggets|96|Box Score||19,520|
Sat, Oct 21, 2017|9:00p|Oklahoma City Thunder|87|Utah Jazz|96|Box Score||18,300|
Sat, Oct 21, 2017|10:30p|Phoenix Suns|88|Los Angeles Clippers|130|Box Score||19,068|
Sun, Oct 22, 2017|3:30p|Atlanta Hawks|104|Brooklyn Nets|116|Box Score||13,917|
Sun, Oct 22, 2017|7:00p|Minnesota Timberwolves|115|Oklahoma City Thunder|113|Box Score||18,203|
Sun, Oct 22, 2017|9:30p|New Orleans Pelicans|119|Los Angeles Lakers|112|Box Score||18,997|
Mon, Oct 23, 2017|7:00p|Philadelphia 76ers|97|Detroit Pistons|86|Box Score||13,709|
Mon, Oct 23, 2017|7:30p|Atlanta Hawks|93|Miami Heat|104|Box Score||19,600|
Mon, Oct 23, 2017|8:00p|Memphis Grizzlies|98|Houston Rockets|90|Box Score||17,129|
Mon, Oct 23, 2017|8:00p|Charlotte Hornets|94|Milwaukee Bucks|103|Box Score||12,887|
Mon, Oct 23, 2017|8:30p|Golden State Warriors|133|Dallas Mavericks|103|Box Score||19,875|
Mon, Oct 23, 2017|8:30p|Toronto Raptors|97|San Antonio Spurs|101|Box Score||18,418|
Mon, Oct 23, 2017|9:00p|Washington Wizards|109|Denver Nuggets|104|Box Score||14,294|
Mon, Oct 23, 2017|10:00p|Sacramento Kings|115|Phoenix Suns|117|Box Score||14,903|
Tue, Oct 24, 2017|7:00p|Chicago Bulls|112|Cleveland Cavaliers|119|Box Score||20,562|
Tue, Oct 24, 2017|7:00p|Brooklyn Nets|121|Orlando Magic|125|Box Score||16,015|
Tue, Oct 24, 2017|7:30p|New York Knicks|89|Boston Celtics|110|Box Score||18,624|
Tue, Oct 24, 2017|8:00p|Indiana Pacers|130|Minnesota Timberwolves|107|Box Score||14,353|
Tue, Oct 24, 2017|10:00p|New Orleans Pelicans|93|Portland Trail Blazers|103|Box Score||19,446|
Tue, Oct 24, 2017|10:30p|Utah Jazz|84|Los Angeles Clippers|102|Box Score||16,607|
Wed, Oct 25, 2017|7:00p|Denver Nuggets|93|Charlotte Hornets|110|Box Score||14,253|
Wed, Oct 25, 2017|7:00p|Minnesota Timberwolves|101|Detroit Pistons|122|Box Score||13,790|
Wed, Oct 25, 2017|7:00p|Houston Rockets|105|Philadelphia 76ers|104|Box Score||20,682|
Wed, Oct 25, 2017|7:30p|Cleveland Cavaliers|107|Brooklyn Nets|112|Box Score||17,732|
Wed, Oct 25, 2017|8:00p|San Antonio Spurs|117|Miami Heat|100|Box Score||19,600|
Wed, Oct 25, 2017|8:00p|Indiana Pacers|96|Oklahoma City Thunder|114|Box Score||18,203|
Wed, Oct 25, 2017|8:30p|Memphis Grizzlies|94|Dallas Mavericks|103|Box Score||19,674|
Wed, Oct 25, 2017|10:00p|Utah Jazz|88|Phoenix Suns|97|Box Score||16,022|
Wed, Oct 25, 2017|10:30p|Toronto Raptors|112|Golden State Warriors|117|Box Score||19,596|
Wed, Oct 25, 2017|10:30p|Washington Wizards|99|Los Angeles Lakers|102|Box Score|OT|18,996|
Thu, Oct 26, 2017|8:00p|Atlanta Hawks|86|Chicago Bulls|91|Box Score||21,104|
Thu, Oct 26, 2017|8:00p|Dallas Mavericks|91|Memphis Grizzlies|96|Box Score||15,839|
Thu, Oct 26, 2017|8:00p|Boston Celtics|96|Milwaukee Bucks|89|Box Score||11,046|
Thu, Oct 26, 2017|10:00p|Los Angeles Clippers|104|Portland Trail Blazers|103|Box Score||18,694|
Thu, Oct 26, 2017|10:30p|New Orleans Pelicans|114|Sacramento Kings|106|Box Score||17,583|
Fri, Oct 27, 2017|7:00p|Houston Rockets|109|Charlotte Hornets|93|Box Score||17,339|
Fri, Oct 27, 2017|7:00p|San Antonio Spurs|87|Orlando Magic|114|Box Score||17,337|
Fri, Oct 27, 2017|7:30p|Denver Nuggets|105|Atlanta Hawks|100|Box Score||16,220|
Fri, Oct 27, 2017|7:30p|Brooklyn Nets|86|New York Knicks|107|Box Score||19,812|
Fri, Oct 27, 2017|8:00p|Oklahoma City Thunder|116|Minnesota Timberwolves|119|Box Score||17,620|
Fri, Oct 27, 2017|10:30p|Washington Wizards|117|Golden State Warriors|120|Box Score||19,596|
Fri, Oct 27, 2017|10:30p|Toronto Raptors|101|Los Angeles Lakers|92|Box Score||17,876|
Sat, Oct 28, 2017|7:00p|Cleveland Cavaliers|101|New Orleans Pelicans|123|Box Score||18,539|
Sat, Oct 28, 2017|8:00p|Oklahoma City Thunder|101|Chicago Bulls|69|Box Score||21,706|
Sat, Oct 28, 2017|8:00p|Houston Rockets|89|Memphis Grizzlies|103|Box Score||17,033|
Sat, Oct 28, 2017|8:00p|Boston Celtics|96|Miami Heat|90|Box Score||19,600|
Sat, Oct 28, 2017|8:30p|Philadelphia 76ers|112|Dallas Mavericks|110|Box Score||19,567|
Sat, Oct 28, 2017|9:00p|Los Angeles Lakers|81|Utah Jazz|96|Box Score||18,306|
Sat, Oct 28, 2017|10:00p|Phoenix Suns|107|Portland Trail Blazers|114|Box Score||19,343|
Sat, Oct 28, 2017|10:30p|Detroit Pistons|95|Los Angeles Clippers|87|Box Score||17,247|
Sun, Oct 29, 2017|3:30p|Milwaukee Bucks|117|Atlanta Hawks|106|Box Score||14,014|
Sun, Oct 29, 2017|4:30p|San Antonio Spurs|94|Indiana Pacers|97|Box Score||15,013|
Sun, Oct 29, 2017|6:00p|Denver Nuggets|124|Brooklyn Nets|111|Box Score||14,854|
Sun, Oct 29, 2017|6:00p|Orlando Magic|113|Charlotte Hornets|120|Box Score||15,531|
Sun, Oct 29, 2017|6:00p|Washington Wizards|110|Sacramento Kings|83|Box Score||17,583|
Sun, Oct 29, 2017|7:00p|New York Knicks|114|Cleveland Cavaliers|95|Box Score||20,562|
Sun, Oct 29, 2017|8:30p|Detroit Pistons|115|Golden State Warriors|107|Box Score||19,596|
Mon, Oct 30, 2017|7:30p|San Antonio Spurs|94|Boston Celtics|108|Box Score||18,624|
Mon, Oct 30, 2017|7:30p|Minnesota Timberwolves|125|Miami Heat|122|Box Score|OT|19,600|
Mon, Oct 30, 2017|7:30p|Denver Nuggets|110|New York Knicks|116|Box Score||19,812|
Mon, Oct 30, 2017|8:00p|Philadelphia 76ers|115|Houston Rockets|107|Box Score||16,714|
Mon, Oct 30, 2017|8:00p|Charlotte Hornets|104|Memphis Grizzlies|99|Box Score||15,771|
Mon, Oct 30, 2017|8:00p|Orlando Magic|115|New Orleans Pelicans|99|Box Score||14,004|
Mon, Oct 30, 2017|9:00p|Dallas Mavericks|89|Utah Jazz|104|Box Score||16,221|
Mon, Oct 30, 2017|10:00p|Toronto Raptors|99|Portland Trail Blazers|85|Box Score||18,505|
Mon, Oct 30, 2017|10:30p|Golden State Warriors|141|Los Angeles Clippers|113|Box Score||19,068|
Tue, Oct 31, 2017|7:00p|Sacramento Kings|83|Indiana Pacers|101|Box Score||12,245|
Tue, Oct 31, 2017|7:30p|Phoenix Suns|122|Brooklyn Nets|114|Box Score||12,936|
Tue, Oct 31, 2017|8:00p|Oklahoma City Thunder|110|Milwaukee Bucks|91|Box Score||16,713|
Tue, Oct 31, 2017|10:30p|Detroit Pistons|93|Los Angeles Lakers|113|Box Score||17,569|
